from, 0.41037, 0.11342, 0.051524, -0.53833, -0.12913, 0.22247, -0.9494, -0.18963, -0.36623, -0.067011, 0.19356, -0.33044, 0.11615, -0.58585, 0.36106, 0.12555, -0.3581, -0.023201, -1.2319, 0.23383, 0.71256, 0.14824, 0.50874, -0.12313, -0.20353, -1.82, 0.22291, 0.020291, -0.081743, -0.27481, 3.7343, -0.01874, -0.084522, -0.30364, 0.27959, 0.043328, -0.24621, 0.015373, 0.49751, 0.15108, -0.01619, 0.40132, 0.23067, -0.10743, -0.36625, -0.051135, 0.041474, -0.36064, -0.19616, 0.0
at, 0.27724, 0.88469, -0.26247, 0.084104, 0.40813, -1.1697, -0.68522, 0.1427, -0.57345, -0.58575, -0.50834, -0.86411, -0.52596, -0.56379, 0.32862, 0.43393, -0.21248, 0.49365, -1.8137, -0.035741, 1.3227, 0.80865, 0.012217, -0.087017, -0.16813, -1.5935, 0.47034, 0.26097, -0.41666, -0.38526, 3.4413, 0.34383, -0.035895, -0.5678, 0.18377, -0.48647, 0.42646, 0.4408, 1.0931, 0.063915, -0.064305, -0.29231, 0.086502, 0.35245, 0.17891, 0.25941, 0.37069, -0.51611, 0.023163, 0.0
as, 0.20782, 0.12713, -0.30188, -0.23125, 0.30175, 0.33194, -0.52776, -0.44042, -0.48348, 0.03502, 0.34782, 0.54574, -0.2066, -0.083713, 0.2462, 0.15931, -0.0031349, 0.32443, -0.4527, -0.22178, 0.022652, -0.041714, 0.31815, 0.088633, -0.03801, -1.8212, -0.50917, -0.097544, -0.08953, 0.050476, 3.718, -0.16503, -0.078733, -0.57101, 0.20418, 0.13411, 0.074281, 0.087502, -0.25443, -0.15011, -0.15768, 0.39606, -0.23646, -0.095054, 0.07859, -0.012305, -0.49879, -0.35301, 0.05058, 0.0
your, -0.029163, 0.81769, 0.3847, -0.77857, 1.1049, -0.13655, -0.024691, -0.051103, 0.7795, 0.051357, -0.35748, 1.1748, -0.098244, 0.33111, 0.40426, 0.58685, -0.62536, 0.094833, 0.97024, -1.1437, 0.13826, 0.28136, 0.46693, 0.35226, 0.68916, -1.9819, -1.4, 0.17001, 1.5929, -1.0086, 3.6499, 1.3949, -0.78823, 0.40404, -0.36925, 0.73075, 0.027513, -0.11993, 0.73716, -1.0365, 0.68659, -0.30294, -0.55175, 0.96466, 0.053103, -0.084807, 0.8512, -0.54186, 0.32453, 0.0
all, 0.19253, 0.10006, 0.063798, -0.087664, 0.52217, 0.39105, -0.41975, -0.45671, -0.34053, -0.11175, 0.014754, 0.31734, -0.50853, -0.1156, 0.74303, 0.097618, 0.34407, -0.1213, -0.16938, -0.84088, -0.11231, 0.40602, 0.76801, 0.091138, 0.10782, -1.2673, -0.57709, -0.36208, 0.34824, -0.75458, 4.0426, 0.94967, -0.22668, -0.35777, 0.3413, 0.13072, 0.23045, -0.036997, -0.25889, 0.12977, -0.39031, -0.049607, 0.45766, 0.56782, -0.46165, 0.41933, -0.5492, 0.081191, -0.30485, -0.30513
have, 0.94911, -0.34968, 0.48125, -0.19306, -0.0088384, 0.28182, -0.9613, -0.13581, -0.43083, -0.092933, 0.15689, 0.059585, -0.49635, -0.17414, 0.75661, 0.4921, 0.21773, -0.22778, -0.13686, -0.90589, -0.48781, 0.19919, 0.91447, -0.16203, -0.20645, -1.7312, -0.47622, -0.04854, -0.14027, -0.45828, 4.0326, 0.6052, 0.10448, -0.7361, 0.2485, -0.033461, -0.13395, 0.052782, -0.27268, 0.079825, -0.80127, 0.30831, 0.43567, 0.88747, 0.29816, -0.02465, -0.95075, 0.36233, -0.72512, 0.0
new, 0.19511, 0.50739, 0.0014709, 0.041914, -0.16759, 0.037517, -1.397, -0.92398, -0.24296, -0.15171, -0.47829, 0.054612, -0.24986, 0.38398, 0.016182, 0.34938, -0.22627, 0.086618, -0.41001, -0.18139, 0.75607, -0.0262, -0.69557, 0.10874, -0.47539, -1.8095, -0.1694, -0.059863, -0.16806, -0.094546, 3.661, 0.041462, -0.29161, -0.69772, 0.30805, -0.28457, 0.13217, -0.007643, -0.09239, -0.49237, -0.27055, 0.060425, 0.095107, -0.23679, -0.086108, 1.0243, -0.22779, 0.030488, -0.14272, 0.0
more, 0.87943, -0.11176, 0.4338, -0.42919, 0.41989, 0.2183, -0.3674, -0.60889, -0.41072, 0.4899, -0.4006, -0.50159, 0.24187, -0.1564, 0.67703, -0.021355, 0.33676, 0.35209, -0.24232, -1.0745, -0.13775, 0.29949, 0.44603, -0.14464, 0.16625, -1.3699, -0.38233, -0.011387, 0.38127, 0.038097, 4.3657, 0.44172, 0.34043, -0.35538, 0.30073, -0.09223, -0.33221, 0.37709, -0.29665, -0.30311, -0.49652, 0.34285, 0.77089, 0.60848, 0.15698, 0.029356, -0.42687, 0.37183, -0.71368, 0.0
an, 0.36143, 0.58615, -0.23718, 0.079656, 0.80192, 0.49919, -0.33172, -0.19785, 0.13876, 0.16804, 0.12557, -0.24494, -0.092315, 0.35135, -0.024396, -0.31713, 0.071206, 0.37087, -0.82027, 0.21193, -0.052153, 0.29928, -0.49494, -0.12546, -0.012394, -2.2174, -0.082666, 0.15184, 0.050396, 0.61229, 3.7305, -0.93152, -0.28716, -0.48056, 0.060682, 0.058104, 0.42065, -0.046598, 0.083503, -0.23819, 0.38828, 0.36926, -0.44066, 0.075673, -0.050556, -0.42269, -0.21577, 0.39362, 0.36523, 0.0
was, 0.086888, -0.19416, -0.24267, -0.33391, 0.56731, 0.39783, -0.97809, 0.03159, -0.61469, -0.31406, 0.56145, 0.12886, -0.84193, -0.46992, 0.47097, 0.023012, -0.59609, 0.22291, -1.1614, 0.3865, 0.067412, 0.44883, 0.17394, -0.53574, 0.17909, -2.1647, -0.12827, 0.29036, -0.15061, 0.35242, 3.124, -0.90085, -0.02567, -0.41709, 0.40565, -0.22703, 0.76829, 0.60982, 0.070068, -0.13271, -0.1201, 0.096132, -0.43998, -0.48531, -0.5188, -0.3077, -0.75028, -0.77, 0.3945, 0.0
we, 0.57387, -0.32729, 0.070521, -0.4198, 0.862, -0.80001, -0.40604, 0.15312, -0.29788, -0.1105, -0.097119, 0.59642, -0.99814, -0.28148, 1.0152, 0.87544, 1.0282, -0.05036, 0.24194, -1.1426, -0.50601, 0.64976, 0.74833, 0.020473, 0.9595, -1.9204, -0.80656, 0.29247, 1.0009, -0.98565, 4.0094, 1.0407, -0.82849, -0.4847, -0.36146, -0.39552, 0.27891, 0.15312, 0.15848, 0.018686, -0.50905, -0.22916, 0.1868, 0.44946, 0.10229, 0.21882, -0.30608, 0.48759, -0.18439, 0.0
will, 0.81544, 0.30171, 0.5472, 0.46581, 0.28531, -0.56112, -0.43913, -0.0090877, 0.10002, -0.17218, 0.28133, 0.37672, -0.40756, 0.15836, 0.89113, 1.2997, 0.51508, -0.1948, 0.051856, -0.9338, 0.069955, -0.24876, -0.016723, -0.2031, -0.033558, -1.8132, 0.11199, -0.31961, -0.13746, -0.45499, 3.8856, 1.214, -1.0046, -0.056274, 0.0038776, -0.40669, 0.29452, 0.30171, 0.038848, -0.56088, -0.46582, 0.17155, 0.33729, -0.15247, 0.023771, 0.51415, -0.21759, 0.31965, -0.34741, 0.0
home, 0.23302, 0.45885, 0.26602, 0.038204, 0.56694, -0.51194, -1.7831, 0.43072, 0.0013246, 0.017852, -0.51549, -0.54466, -0.25115, -0.37632, 0.40969, 0.070356, -0.2612, -0.0027769, -0.51361, 0.29828, 0.14496, 0.53748, -0.62443, 0.41379, -0.22006, -1.6277, 0.29026, -0.01853, 0.51004, -0.61231, 3.238, 0.74873, 0.18835, 0.022167, 0.57824, 0.52022, 0.15287, 0.41601, 0.5526, -0.40373, -0.18057, 0.20914, -0.23873, 0.11284, -0.007494, 0.57918, -0.43641, -0.80904, 0.2041, 0.0
can, 0.8052, 0.37121, 0.55933, -0.011405, 0.17319, 0.195, 0.057701, -0.12447, -0.011342, 0.20654, 0.41079, 0.89578, 0.31893, 0.030787, 0.60194, 1.2023, 0.68283, -0.13267, 0.16984, -1.4674, -0.41844, -0.47395, 0.7267, 0.61088, 0.44584, -1.4793, -0.50037, -0.12249, 0.75994, -0.77112, 3.9653, 0.38077, -0.6439, -0.84899, 0.07554, 0.17522, 0.30117, 0.12964, 0.27253, -0.32951, 0.34211, 0.15608, 0.20953, 0.97948, 0.35927, 0.19116, 0.45494, -0.1895, -0.20902, 0.0
us, 0.19086, 0.24339, 1.2768, -0.038207, 0.6094, -0.70188, 0.040862, -0.44903, 0.0080416, -0.18819, -0.68578, -0.12465, -0.32855, -0.073507, 0.79112, 0.31981, 0.081126, -0.033057, -0.6007, 0.014536, 0.42773, 0.71318, 0.13327, -0.64247, 0.066402, -2.2346, 0.013668, -0.45647, 0.40542, -0.0042052, 3.4561, 0.54602, -0.3789, 0.58198, -0.22852, -0.8409, -0.30465, -0.69669, -0.4232, -0.81757, 0.036113, 0.25739, 1.745, -0.61482, 0.41547, 0.40002, -0.51528, 0.89973, -0.54324, 0.0
about, 0.89466, 0.36604, 0.37588, -0.41818, 0.58462, 0.18594, -0.41907, -0.46621, -0.54903, 0.02477, -0.90816, -0.48271, -0.050742, -0.74039, 1.4377, -0.01974, -0.2384, 0.43154, -0.6612, -0.41275, 0.25475, 0.93498, 0.81404, -0.17296, 0.61296, -1.8475, -0.27616, 0.27701, 0.42347, -0.11599, 3.6243, 0.12306, -0.023526, -0.24843, -0.22376, -0.53941, -0.62444, -0.27711, 0.49406, 0.020234, -0.2346, 0.44512, 0.53397, 0.66654, -0.093662, -0.035203, -0.064194, 0.55998, -0.66593, 0.0
if, 0.49861, -0.12284, 0.44772, -0.082727, 0.78117, 0.12032, -0.044677, 0.47959, -0.24538, 0.07315, 0.13542, 0.47475, -0.45838, -0.125, 1.2397, 1.1176, 0.52392, -0.25142, 0.094939, -0.87224, -0.45383, -0.0098866, 0.46122, 0.23339, 0.3067, -2.4232, -0.21251, 0.37548, 0.92848, -0.47064, 3.6259, 0.3914, -0.94158, -0.31952, -0.12849, -0.47342, 0.41335, 0.041173, 0.30079, -0.61249, -0.23717, 0.24716, -0.0447, 0.62406, -0.27345, 0.0087021, -0.22906, 0.26395, -0.062214, 0.0
page, -0.087095, 1.1831, 0.79428, 0.18284, 0.1016, 0.081635, -1.179, -1.077, 0.069456, -0.68088, -1.3202, 0.14275, -0.50915, 0.039628, 0.80081, -0.86224, -1.2599, -0.69537, 0.36489, -0.25483, 0.098292, 0.047396, 0.67099, 0.66332, 0.50158, -0.79489, -0.66751, 0.23058, -0.10341, -0.54251, 2.3983, -0.84872, -0.23754, -0.27035, -0.51758, 0.1138, 0.56278, -0.11304, -0.60614, -0.64516, 1.6101, -0.24121, -0.40367, -0.031814, -0.23013, 0.45883, 0.28848, 0.19756, 0.30722, 0.0
my, -0.27279, 0.77515, -0.10181, -0.9166, 0.90477, -0.070501, -0.47569, 0.44608, 0.1697, 0.072352, -0.16306, 0.86852, -0.76634, -0.016103, 0.78492, 0.2952, -0.74859, 0.2099, 0.65537, -0.62334, -0.43711, 1.1854, 0.47519, 0.0093866, 1.1377, -2.4394, -1.5619, 0.49001, 1.0985, -0.97371, 3.4628, 1.0408, -0.65138, 0.57189, -0.12523, 0.26705, 0.16373, 0.41105, 0.7509, -0.77923, 0.03638, -0.28609, -0.72365, 0.63511, 0.089441, -0.30133, 0.36518, -0.73367, 0.040383, 0.0
has, 0.54822, 0.038847, 0.10127, 0.31319, 0.095487, 0.41814, -0.79493, -0.58296, 0.026643, 0.12392, 0.35194, -0.02163, -0.87018, -0.27178, 0.65449, 0.42934, 0.097544, 0.31779, -0.11921, -0.097106, -0.47585, 0.24907, 0.1223, -0.29079, -0.16866, -2.1072, 0.022174, 0.45277, -0.64485, 0.13181, 3.6594, -0.1714, 0.23919, -0.42249, -0.088331, -0.32925, -0.12847, 0.47055, -0.075953, -0.27747, -0.41905, 0.60803, -0.24261, 0.014885, -0.23204, 0.020879, -0.82175, 0.26588, -0.40267, -0.17111
search, 1.4921, -0.23995, 0.67629, 0.41949, 0.31803, -0.61658, -1.2291, 0.095177, 1.1922, -0.37693, -0.20628, 0.085418, -0.18313, 0.37054, 0.087378, -0.24574, -0.32308, -0.41769, -0.083368, -0.52043, 0.44245, 0.64979, -0.1428, 0.37979, 0.34963, -1.0562, -0.36316, -0.51145, 0.5626, -0.11269, 2.7378, -0.57908, -0.89484, -0.86246, 0.25385, 0.56726, -0.56846, -0.29951, -0.15662, -0.41541, 0.44716, -0.25818, 0.34409, 0.31967, 0.30206, -0.62861, 0.71302, 0.16478, 0.29604, 0.0
free, -0.41183, 0.4528, 0.02825, -0.28702, 0.037029, -0.22841, -1.0803, -0.46185, 0.68202, 0.95844, 0.22325, 0.15388, 0.016271, 0.33186, 0.41374, -0.0098567, 0.60909, -0.77774, 0.069414, -0.0095931, 0.11433, 0.096629, -0.082344, 0.53318, -0.35387, -1.4886, 0.77553, -0.32434, 0.71493, -0.54821, 3.4471, 0.53604, -1.2305, 0.13366, -0.30577, -0.0080669, 0.35145, 0.22877, 0.096214, 0.15633, 0.61515, 0.17427, 0.11386, 0.49481, -0.16223, -0.036013, -0.11342, 0.01074, -0.03284, 0.0
but, 0.35934, -0.2657, -0.046477, -0.2496, 0.54676, 0.25924, -0.64458, 0.1736, -0.53056, 0.13942, 0.062324, 0.18459, -0.75495, -0.19569, 0.70799, 0.44759, 0.27031, -0.32885, -0.38891, -0.61606, -0.484, 0.41703, 0.34794, -0.19706, 0.40734, -2.1488, -0.24284, 0.33809, 0.43993, -0.21616, 3.7635, 0.19002, -0.12503, -0.38228, 0.12944, -0.18272, 0.076803, 0.51579, 0.0072516, -0.29192, -0.27523, 0.40593, -0.040394, 0.28353, -0.024724, 0.10563, -0.32879, 0.10673, -0.11503, 0.0
